galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
NGC4214,0.7599934088353422,0.3451006184820148,0.8953505888057521,0.17221337867588118,80.6,5.63,14,0.667294559408378,0.6596129569432566,0.8009938920801782,0.8670824634118818,0.8931072249138292,,1.9063350418050906
NGC4217,0.6979170603353789,0.602720433420175,0.5762719698447232,0.030010357558640573,191.0,16.72,19,-2.146660956152484,-0.14806867227033593,0.3122331978217751,0.5048857002622209,0.5651100462929852,,2.2810333672477277
NGC4559,0.678654249957477,0.43157741976521047,0.6627261631249008,0.24006606358772797,124.0,20.97,32,0.28526390515401956,0.4109664678982323,0.566741145530881,0.6618722159338647,0.6619468745989416,,2.093421685162235
NGC5005,0.6609825356303646,0.4469044477825765,0.38224096073865543,0.08347574897312202,265.0,11.47,18,0.10053479628953352,0.1573401023504209,0.24211491065008592,0.31680588821665817,0.37563782749368685,,2.423245873936808
NGC5033,0.9158040648911933,0.17461528629670595,0.776576253215174,0.08575968129987678,225.0,44.59,22,0.21522041110960477,0.6123476776482799,0.7067168407101911,0.7418659417785345,0.7778061799827808,,2.3521825181113627
NGC5055,0.37033983001674564,0.40349624524473254,0.7122558523476298,0.04685104048488297,206.0,54.59,28,-0.01216406063475726,0.3832772001642373,0.589339433297928,0.6800114221590883,0.7237445833753696,,2.3138672203691533
NGC5371,0.9219560145048784,0.4808920003424064,0.5124459831906711,0.045735576369609905,242.0,46.24,19,0.37299803288234207,0.2272660444740051,0.24633169906731045,0.3380133781367689,0.48685111122506736,,2.383815365980431
NGC5585,0.024124250050521392,0.4549008672371866,0.7857650512547097,0.26295320197073524,92.3,10.96,24,0.31685088646844356,0.6439928126852928,0.7107513378264239,0.7769015268667373,0.786737320770286,,1.965201701025912
NGC5907,0.9254779915585015,0.45148138078454186,0.7310251076563649,0.13088380105224065,235.0,50.33,19,0.6031763568947791,0.5300036403051966,0.5986963837082179,0.6480159720505884,0.7279004528847027,,2.3710678622717363
NGC5985,0.7053756342707637,0.4760922941719759,0.7437460060962896,0.03865992028305662,305.0,34.72,33,0.7685301039256335,0.7496321773145419,0.695676177121651,0.728526847132672,0.7552238448791432,,2.484299839346786
NGC6015,0.09485532920583839,0.4681678732969943,0.8021384134749081,0.16624313695937346,166.0,29.23,44,0.5493584163245337,0.5531013935533449,0.6813724962779529,0.779016218134031,0.8016681977913233,,2.220108088040055
NGC6195,0.4987036767581439,0.531042097106814,0.4535231683543358,0.050575286257686855,258.0,36.43,23,0.2469646010178805,0.2670213901114561,0.2869470254075328,0.36932921673556357,0.4937612228230237,,2.41161970596323
NGC6503,0.6219953613203448,0.32331482658248717,0.8473724234950242,0.14481587082794023,121.0,23.5,31,0.39045319218816216,0.6607811092681308,0.7640753168526485,0.8084749614723,0.8451032861380198,,2.0827853703164503
NGC6674,0.9169782511152835,0.3227300622804515,0.8403305230021286,0.08533099990628133,291.0,72.41,15,0.5876974822843102,0.6659589088998116,0.7264107037026305,0.7870561428867774,0.8338608359853321,,2.4638929889859074
NGC6946,0.3261174540938089,0.4368052099372981,0.5995252967426251,0.06457461969621939,181.0,20.4,58,0.13149642159565636,0.30444567047172194,0.42073312248910993,0.5317114462238053,0.6051565036689671,,2.2576785748691846
NGC7331,0.7129505661323695,0.3296801455198078,0.6294546751458553,0.04896041334632961,257.0,36.31,36,-0.1458936789263303,0.20039894472191427,0.3745666961737976,0.5258247747519257,0.637875299086545,,2.4099331233312946
NGC7793,1.5644587581222115e-10,0.45013451506751856,0.6232088642248926,0.11944758837990743,116.0,7.87,46,0.16903660335917592,0.44457274645604655,0.5741129516216921,0.631262904925422,0.6290196004641797,,2.0644579892269186
NGC7814,0.9277971529630767,0.3801868300692116,0.7825415194558477,0.010186186661226415,265.0,19.53,18,0.22340088117819645,0.48795579955788454,0.643723326677541,0.7151412660790998,0.7760593108568434,,2.423245873936808
UGC00128,0.8077613186027095,0.4071192008403544,0.8839006304358463,0.5266608017233065,134.0,53.75,22,0.7899564092834275,0.8519940102770456,0.8253656710954793,0.8434851223515665,0.882406722444808,,2.1271047983648077
UGC00191,0.15690689400442948,0.4193102164649668,0.749905723369797,0.36600586891690406,83.85,9.98,9,0.7371418952396559,0.8250724572111989,0.7552728939201878,0.7287156149977139,,,1.9235030669421045
UGC00731,0.7695936544384572,0.470540932711901,0.7526057748891617,0.8718708944906267,74.0,10.91,12,0.9579683796306552,0.9283301202117629,0.8847087644659458,0.7863129232704705,0.7534567890309397,,1.8692317197309762
UGC01230,0.6303842440817496,0.4381233331827698,0.769731396732206,0.48178287416479465,113.0,36.54,11,0.7316934551172876,0.8052930006751766,0.8013051883467774,0.7367655918367346,0.7661954095579226,,2.0530784434834195
UGC01281,0.6483152128039288,0.4570035842223612,0.8273232527065616,0.5100955727359074,56.9,4.99,25,-2.5035497122357833,0.7718859804820831,0.8064169135745973,0.8267246115224768,0.8321929847384157,,1.7551122663950711
